Name,Category,Investment Horizon,NAV,Date,NAV_Category
LIC MF Manufacturing Fund-Regular Plan-Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7097,"Fri, 25 Oct 2024 00:00:00",Low
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Direct Plan - IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7,"Fri, 25 Oct 2024 00:00:00",Low
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7,"Fri, 25 Oct 2024 00:00:00",Low
Groww Nifty EV & New Age Automotive ETF FOF - Direct Plan - IDCW,Other Scheme - FoF Domestic,Long-Term Schemes,9.6987,"Fri, 25 Oct 2024 00:00:00",Low
Groww Nifty EV & New Age Automotive ETF FOF- Direct Plan - Growth,Other Scheme - FoF Domestic,Long-Term Schemes,9.6987,"Fri, 25 Oct 2024 00:00:00",Low
SBI Innovative Opportunities Fund - Regular Plan - Income Distribution Cum Capital Withdrawal Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.694,"Fri, 25 Oct 2024 00:00:00",Low
SBI Innovative Opportunities Fund - Regular Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.6935,"Fri, 25 Oct 2024 00:00:00",Low
Groww Nifty EV & New Age Automotive ETF FOF - Regular Plan - IDCW,Other Scheme - FoF Domestic,Long-Term Schemes,9.6901,"Fri, 25 Oct 2024 00:00:00",Low
Groww Nifty EV & New Age Automotive ETF FOF - Regular Plan - Growth,Other Scheme - FoF Domestic,Long-Term Schemes,9.69,"Fri, 25 Oct 2024 00:00:00",Low
Nippon India Balanced Advantage Fund - Direct Plan Growth Plan - Bonus Option,Hybrid Scheme - Balanced Hybrid Fund,Long-Term Schemes,9.6826,"Thu, 24 Dec 2015 00:00:00",Low
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.66,"Fri, 25 Oct 2024 00:00:00",Low
ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.66,"Fri, 25 Oct 2024 00:00:00",Low
DSP Nifty Top 10 Equal Weight Index Fund - Direct - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.6525,"Fri, 25 Oct 2024 00:00:00",Low
DSP Nifty Top 10 Equal Weight Index Fund - Regular - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.6424,"Fri, 25 Oct 2024 00:00:00",Low
HSBC India Export Opportunities Fund - Direct IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.6415,"Fri, 25 Oct 2024 00:00:00",Low
HSBC India Export Opportunities Fund - Direct Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.6415,"Fri, 25 Oct 2024 00:00:00",Low
HSBC India Export Opportunities Fund - Regular Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.6298,"Fri, 25 Oct 2024 00:00:00",Low
HSBC India Export Opportunities Fund - Regular IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.6298,"Fri, 25 Oct 2024 00:00:00",Low
NAVI NIFTY 500 MULTICAP 50-25-25 DIRECT PLAN,Other Scheme - Index Funds,Long-Term Schemes,9.6291,"Fri, 25 Oct 2024 00:00:00",Low
WhiteOak Capital Digital Bharat Fund Direct Plan Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.625,"Fri, 25 Oct 2024 00:00:00",Low
WhiteOak Capital Digital Bharat Fund Regular Plan Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.617,"Fri, 25 Oct 2024 00:00:00",Low
NAVI NIFTY 500 MULTICAP 50-25-25 REGULAR PLAN,Other Scheme - Index Funds,Long-Term Schemes,9.6124,"Fri, 25 Oct 2024 00:00:00",Low
Bandhan Business Cycle Fund - Direct Plan - IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.59,"Fri, 25 Oct 2024 00:00:00",Low
Bandhan Business Cycle Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.59,"Fri, 25 Oct 2024 00:00:00",Low
Baroda BNP Paribas Manufacturing Fund - Direct Plan - IDCW Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.5891,"Fri, 25 Oct 2024 00:00:00",Low
Baroda BNP Paribas Manufacturing Fund - Direct Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.5891,"Fri, 25 Oct 2024 00:00:00",Low
Mirae Asset Hang Seng TECH ETF Fund of Fund Regular Plan - Growth Option,Other Scheme - FoF Domestic,Long-Term Schemes,9.588,"Fri, 25 Oct 2024 00:00:00",Low
Bandhan Business Cycle Fund - Regular Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.579,"Fri, 25 Oct 2024 00:00:00",Low
Bandhan Business Cycle Fund - Regular Plan - IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.579,"Fri, 25 Oct 2024 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN X (1153 DAYS) - Direct Plan - Quarterly IDCW,Income,Short-Term Schemes,9.5649,"Tue, 04 May 2021 00:00:00",Low
Mahindra Manulife Manufacturing Fund - Direct Plan - IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.5623,"Fri, 25 Oct 2024 00:00:00",Low
Mahindra Manulife Manufacturing Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.5623,"Fri, 25 Oct 2024 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN X (1153 DAYS) - Regular Plan - Annual IDCW,Income,Short-Term Schemes,9.556,"Tue, 04 May 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN X (1153 DAYS) - Regular Plan - Quarterly IDCW,Income,Short-Term Schemes,9.5558,"Tue, 04 May 2021 00:00:00",Low
HDFC NIFTY500 Multicap 50:25:25 Index Fund - Direct Plan,Other Scheme - Index Funds,Long-Term Schemes,9.5492,"Fri, 25 Oct 2024 00:00:00",Low
HDFC NIFTY500 Multicap 50:25:25 index Fund - Regular Plan,Other Scheme - Index Funds,Long-Term Schemes,9.5407,"Fri, 25 Oct 2024 00:00:00",Low
